Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Inward issue link (Finish-to-Finish link (WBSGantt)),Inward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Outward issue link (Finish-to-Finish link (WBSGantt)),Inward issue link (Finish-to-Start link (WBSGantt)),Inward issue link (Hierarchy link (WBSGantt)),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Activity Class),Custom field (Activity Type),Custom field (Biomica Delivery),Custom field (Budget),Custom field (Budget 2),Custom field (CRISPRIL WP),Custom field (Crispr Delivery),Custom field (DevOps Platform),Custom field (EVGN Description),Custom field (End date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Experiment Name),Custom field (Lavie project),Custom field (Maturity Level),Custom field (Planned End),Custom field (Planned Start),Custom field (Priority),Custom field (Product),Custom field (Rank),Sprint
BACUM loader - Mar,CPB-879,41704,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,noama,duduz,duduz,12/02/2023 15:21,16/03/2023 12:05,12/09/2023 13:19,,08/03/2023 00:00,duduz,noama,,,,,,,,,;05/Mar/23 11:37 AM;noama;14400,;06/Mar/23 1:02 PM;noama;18000,;08/Mar/23 4:50 AM;noama;18000,;08/Mar/23 1:05 PM;noama;28800,;12/Mar/23 12:43 PM;noama;28800,;13/Mar/23 1:13 PM;noama;28800,merge request fies;16/Mar/23 12:05 PM;noama;7200,,,,,,,,,,,,,,,,,,,144000,0,144000,100%,144000,0,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,CPB-762,,,,,,,,,MicroBoost,0|i010gn:,01/03/2023
Dev support and upkeep (Noam) - Mar,CPB-919,43009,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,noama,duduz,duduz,27/02/2023 14:03,30/03/2023 11:12,12/09/2023 13:19,,31/03/2023 00:00,duduz,noama,,,,,,,,,;15/Mar/23 9:24 AM;noama;1800,,,,,,,,,,,,,,,,,,,,,,,,,57600,55800,1800,3%,57600,55800,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Development,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i01153:,01/03/2023
Local GoGenome - Basic interface MAR23-adjustment,CRIS-404,41900,,Task,Closed,CRIS,CrisprIL,software,drorf,,,High,,noama,nira,sharonl,14/02/2023 07:20,23/04/2023 14:08,12/09/2023 13:19,,08/05/2023 00:00,sharonl,,,,,,,,,,* issues time estimate  with Inbar regrading evoCrisper;15/Mar/23 9:34 AM;noama;1800,,,,,,,,,,,,,,,,,,,,,,,,,57600,55800,1800,3%,57600,55800,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRIS-401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P277 - CrisprIL_WP1 (CRISPR) (2023),,WP1,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",13/02/2023 00:00,,CRIS-376,,,,,New,,,,Generator,0|i010hr:,01/11/2022
Advanced search ,CPB-929,44402,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,noama,Iliaz,Iliaz,21/03/2023 09:57,30/04/2023 11:16,12/09/2023 13:19,,30/04/2023 00:00,Iliaz,,,,,,,,,,query for v_prod_annotations;02/Apr/23 12:08 PM;noama;28800,"* create v_pord_annotatios view in biomica & laviebio
* Athlete.annotations API to get new view data;03/Apr/23 12:07 PM;noama;28800",v_prod_annotatios /mv_prod_annotations;04/Apr/23 11:36 AM;noama;14400,checking es logstash;16/Apr/23 11:59 AM;noama;28800,start working on UI query construct;17/Apr/23 12:28 PM;noama;28800,"* ui query form
* curl insert into elk;19/Apr/23 5:25 AM;noama;28800","ui query bulder, elk poc;19/Apr/23 12:13 PM;noama;28800",working on constructing elk query filter;20/Apr/23 11:14 AM;noama;28800,ui query from ;23/Apr/23 11:59 AM;noama;28800,"* adding to athlete.annotations es API to get data
* executing query from UI ;24/Apr/23 10:47 AM;noama;28800","* update ui query to ELK
* results tab
* display query records in results tab;27/Apr/23 11:24 AM;noama;28800","display results 
adding link to cluster, ko, evocog & production;30/Apr/23 11:16 AM;noama;28800",,,,,,,,,,,,,,288000,0,331200,115%,288000,0,331200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-957,CPB-951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/Mar/23 2:13 PM;duduz;advanced_search_mock.PNG;https://jira.prod.evogene.host/secure/attachment/46016/advanced_search_mock.PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",30/04/2023 00:00,,,,,,,,,,,CPB,0|i011rz:,01/04/2023
API for getting taxonomy abundance,CPB-963,46507,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,noama,michala,michala,24/04/2023 11:28,09/05/2023 03:30,12/09/2023 13:19,,11/05/2023 00:00,iliab,michala,,,,,,,,,"getTaxonomiesSamplesData function to metabacum taxonomy moudule

query= SELECT MTA.TAXID,MS.SAMPLE_ID, MS.SAMPLE_NAME, MTA.VALUE AS ABUNDANCE, MTA.KRAKEN_VERSION, 
                         MD.DATASET_ID, MD.DATASET_NAME, MS.FASTQ_CLEAN, MS.FASTQ_RAW, MD.DESCRIPTION
                         FROM MBAC_TAXA_ABUNDANCE MTA
                         JOIN MBAC_SAMPLES MS ON MTA.SAMPLE_ID = MS.SAMPLE_ID
                         JOIN MBAC_DATASETS MD ON MS.DATASET_ID = MD.DATASET_ID;02/May/23 12:20 PM;noama;10800",taxonomy abundance tests;09/May/23 3:28 AM;noama;7200,,,,,,,,,,,,,,,,,,,,,,,,28800,10800,18000,62%,28800,10800,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i012rb:,01/05/2023
Automatic verification of uploaded data in metaBacumLoader.py,CPB-955,46409,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,noama,iliab,iliab,23/04/2023 09:29,21/05/2023 07:57,12/09/2023 13:19,,31/05/2023 00:00,elanitec,iliab,Iliaz,larisar,sassim,,,,,,creating execute report file;15/May/23 12:04 PM;noama;28800,"adding summary  details for:

dataset

sample

identifer type and source

taxonomay loading;16/May/23 12:12 PM;noama;28800",;17/May/23 11:54 AM;noama;14400,fix test an upload update;18/May/23 11:07 AM;noama;7200,,,,,,,,,,,,,,,,,,,,,,86400,7200,79200,91%,86400,7200,79200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-828,,,,,,,,,CPB,0|i012o7:,01/05/2023
Advanced search -May,CPB-951,46300,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,noama,Iliaz,Iliaz,20/04/2023 08:33,29/05/2023 08:34,12/09/2023 13:19,,31/05/2023 00:00,Iliaz,noama,,,,,,,,,"fix link to cluster, ko, evocog & production
result xlsx download;01/May/23 11:49 AM;noama;28800",* finished athlete API for advanced search;02/May/23 8:07 AM;noama;18000,poc for data loading sql to ELK;03/May/23 11:48 AM;noama;18000,"data loading POC
create string query fro saving;04/May/23 11:32 AM;noama;28800","UI tuneups, update query string;07/May/23 11:34 AM;noama;28800",load to annotations index script;08/May/23 12:08 PM;noama;28800,"data loading script
 * get data file list from working directory
 * iterate on file list
 * read each file by 10000 records chunks
 * load data into index by 500 records chunk;09/May/23 12:08 PM;noama;28800","* created MV_PROD_ANNAOTATIONS in Laviebio & Biomica
 * updated etl to load to ANNOTAIONS ELK index
 *;10/May/23 11:32 AM;noama;28800","* start data loading from oracle to ELK
 * write queries to elastic queries index
 * UI query form tuneups;11/May/23 11:03 AM;noama;28800",;15/May/23 5:52 AM;noama;21600,;17/May/23 11:54 AM;noama;14400,;29/May/23 8:33 AM;noama;7200,,,,,,,,,,,,,,288000,7200,280800,97%,288000,7200,280800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/Apr/23 8:33 AM;Iliaz;advanced_search_mock.PNG;https://jira.prod.evogene.host/secure/attachment/47305/advanced_search_mock.PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",30/04/2023 00:00,,,,,,,,,,,CPB,0|i012jb:,01/05/2023
Genome page main UI - Droplist Annotations: TANDA-fasta36 from cluster page,MIC-767,41223,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,noama,larisar,larisar,05/02/2023 15:16,29/05/2023 08:33,12/09/2023 13:19,,01/06/2023 00:00,elanitec,larisar,liorr,noama,,,,,,,;18/May/23 11:08 AM;noama;21600,;21/May/23 12:10 PM;noama;28800,;23/May/23 12:08 PM;noama;28800,;24/May/23 11:52 AM;noama;28800,ui fixes;28/May/23 11:57 AM;noama;28800,done;29/May/23 8:32 AM;noama;7200,,,,,,,,,,,,,,,,,,,,144000,0,144000,100%,144000,0,144000,MIC-766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/Feb/23 9:51 AM;larisar;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/43501/screenshot-1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,MicroBoost,0|i010b3:,01/05/2023
BACUM loader debugging,CPB-985,48604,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,noama,iliab,iliab,23/05/2023 12:01,31/05/2023 11:19,12/09/2023 13:19,,28/06/2023 00:00,iliab,,,,,,,,,,;30/May/23 12:02 PM;noama;28800,"* fixed get_assemblies_data call send name instad of assembly id
 * fixed call to add_assembly_16s_taxid;31/May/23 11:19 AM;noama;28800",,,,,,,,,,,,,,,,,,,,,,,,86400,28800,57600,66%,86400,28800,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Custom,Other,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i013in:,01/05/2023
CLONED -F2O gives seemingly false warning and omits Group ID and Representative from the results,LAV-484,48711,,Bug,Closed,LAV,LavieBio,software,michald,,,Medium,,noama,larisar,larisar,24/05/2023 16:45,11/06/2023 15:30,12/09/2023 13:19,,18/06/2023 00:00,elanitec,larisar,noama,,,,,,,,;06/Jun/23 11:55 AM;noama;14400,;07/Jun/23 10:16 AM;noama;14400,,,,,,,,,,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/May/23 4:26 PM;larisar;image-2023-05-24-11-49-28-995.png;https://jira.prod.evogene.host/secure/attachment/49816/image-2023-05-24-11-49-28-995.png,24/May/23 4:26 PM;larisar;image-2023-05-24-11-50-14-881.png;https://jira.prod.evogene.host/secure/attachment/49817/image-2023-05-24-11-50-14-881.png,24/May/23 4:27 PM;larisar;image-2023-05-24-11-51-05-543.png;https://jira.prod.evogene.host/secure/attachment/49815/image-2023-05-24-11-51-05-543.png,24/May/23 4:37 PM;larisar;image-2023-05-24-12-03-23-994.png;https://jira.prod.evogene.host/secure/attachment/49814/image-2023-05-24-12-03-23-994.png,24/May/23 4:22 PM;larisar;Productions4F2O.xlsx;https://jira.prod.evogene.host/secure/attachment/49818/Productions4F2O.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,Tool Support,Bug or False,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,MicroBoost,0|i013o7:,01/06/2023
CLONED - Bug in F2O output for Biomica users (nested tables),INTBIOM-6,48703,,Bug,Closed,INTBIOM,Biomica Internal,software,drorf,,,Medium,,noama,larisar,larisar,24/05/2023 10:01,08/06/2023 10:00,12/09/2023 13:19,,07/06/2023 00:00,elanitec,iliab,larisar,,,,,,,,* after sorting one of the popup coluns cant open popup table - in progress;01/Jun/23 11:22 AM;noama;14400,nested tabled popups fixed. open after sorting columns;04/Jun/23 10:28 AM;noama;25200,,,,,,,,,,,,,,,,,,,,,,,,57600,18000,39600,68%,57600,18000,39600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOM-267,,,,,,,,,,,,,,,,,,,,24/May/23 9:55 AM;larisar;image-2023-05-24-12-55-28-418.png;https://jira.prod.evogene.host/secure/attachment/49804/image-2023-05-24-12-55-28-418.png,01/Jun/23 10:26 AM;larisar;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/50509/screenshot-1.png,08/Jun/23 9:59 AM;larisar;screenshot-2.png;https://jira.prod.evogene.host/secure/attachment/51007/screenshot-2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool Support,Bug or False,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,MicroBoost,0|i013mf:,01/06/2023
CLONE - Remove 'production list too long' limit in Corbac UI tool,LAV-463,44305,,Task,Closed,LAV,LavieBio,software,michald,,,Medium,,noama,elanitec,elanitec,20/03/2023 14:45,15/06/2023 12:42,12/09/2023 13:19,,27/03/2023 00:00,duduz,elanitec,larisar,noama,sharonl,,,,,,;27/Mar/23 9:17 AM;duduz;7200,updated records limit to 1000;27/Mar/23 10:23 AM;noama;5400,,,,,,,,,,,,,,,,,,,,,,,,14400,1800,12600,87%,14400,1800,12600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAV-461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/Mar/23 10:22 AM;noama;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/45802/screenshot-1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool Support,Operational Task,,P192 - Lavie programs (Lavie 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,MicroBoost,0|i011qv:,01/03/2023
Genome page main UI - Droplist Annotations: Plasmid,MIC-763,41219,,Task,Closed,MIC,MicroBoost,software,larisar,,,Medium,,noama,larisar,larisar,05/02/2023 15:07,28/06/2023 11:18,12/09/2023 13:19,,28/06/2023 00:00,elanitec,larisar,,,,,,,,,"athlete API, added to functions
 * getProductionsPlasmidsGrouped, to get plasmid type and total number of members in palsmid group
 * getProductionsPlasmids, will get group members list;22/Jun/23 3:17 AM;noama;28800",display results ;22/Jun/23 10:57 AM;noama;28800,handle no plasmid found;26/Jun/23 12:02 PM;noama;14400,done please check;27/Jun/23 8:29 AM;noama;14400,,,,,,,,,,,,,,,,,,,,,,86400,0,86400,100%,86400,0,86400,MIC-751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/Feb/23 3:48 PM;larisar;screenshot-1.png;https://jira.prod.evogene.host/secure/attachment/43923/screenshot-1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tool,Development,,P265 - Product- MB (Microboost 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-720,,,,,,,,,MicroBoost,0|i010a7:,01/06/2023
CLONE - Raw taxonomy matrices downloded from metabacum are presented as relatiVe abundance matrices,INTBIOM-8,50902,,Bug,Closed,INTBIOM,Biomica Internal,software,drorf,,,Medium,,noama,elanitec,elanitec,21/06/2023 10:20,28/06/2023 14:06,12/09/2023 13:19,,22/06/2023 00:00,duduz,elanitec,iliab,noama,sassim,,,,,,checking the bug;25/Jun/23 12:07 PM;noama;10800,;26/Jun/23 7:29 AM;noama;14400,,,,,,,,,,,,,,,,,,,,,,,,,0,25200,,,0,25200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIOM-281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/Jun/23 10:20 AM;elanitec;Genus_TAXONOMY_matrix_ABUNDANCE_IBS.tsv;https://jira.prod.evogene.host/secure/attachment/52109/Genus_TAXONOMY_matrix_ABUNDANCE_IBS.tsv,21/Jun/23 10:20 AM;elanitec;Genus_TAXONOMY_matrix_RELATIVE_ABUNDANCE_IBS.tsv;https://jira.prod.evogene.host/secure/attachment/52110/Genus_TAXONOMY_matrix_RELATIVE_ABUNDANCE_IBS.tsv,21/Jun/23 10:20 AM;elanitec;Phylum_TAXONOMY_matrix_ABUNDANCE_IBS.tsv;https://jira.prod.evogene.host/secure/attachment/52111/Phylum_TAXONOMY_matrix_ABUNDANCE_IBS.tsv,21/Jun/23 10:20 AM;elanitec;Phylum_TAXONOMY_matrix_RELATIVE_ABUNDANCE_IBS.tsv;https://jira.prod.evogene.host/secure/attachment/52112/Phylum_TAXONOMY_matrix_RELATIVE_ABUNDANCE_IBS.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,Bug or False,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,MicroBoost,0|i014kn:,01/06/2023
F2O bugs following Busco score updating and uploading,MIC-810,44702,,Bug,Closed,MIC,MicroBoost,software,larisar,,,Medium,,noama,anatol,anatol,26/03/2023 12:31,29/06/2023 14:07,12/09/2023 13:19,,08/06/2023 00:00,anatol,drorf,duduz,elanitec,larisar,noama,,,,,;05/Jun/23 11:58 AM;noama;28800,;06/Jun/23 6:37 AM;noama;10800,,,,,,,,,,,,,,,,,,,,,,,,57600,18000,39600,68%,57600,18000,39600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIC-930,MIC-905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/Mar/23 12:32 PM;anatol;boimica.xlsx;https://jira.prod.evogene.host/secure/attachment/45704/boimica.xlsx,06/Jun/23 6:43 AM;noama;FAILED PRODUCTION LIST  biomica.tsv;https://jira.prod.evogene.host/secure/attachment/50804/FAILED+PRODUCTION+LIST++biomica.tsv,06/Jun/23 6:40 AM;noama;FAILED PRODUCTION LIST laviebio.tsv;https://jira.prod.evogene.host/secure/attachment/50802/FAILED+PRODUCTION+LIST+laviebio.tsv,26/Mar/23 12:33 PM;anatol;lavieBio.xlsx;https://jira.prod.evogene.host/secure/attachment/45705/lavieBio.xlsx,06/Jun/23 6:38 AM;noama;Productions missing BUSCO score laviebio.csv;https://jira.prod.evogene.host/secure/attachment/50800/Productions+missing+BUSCO+score+laviebio.csv,"06/Jun/23 6:41 AM;noama;reference production_ Acidilobus_saccharovorans_345_15_14v1, min busco score selected is 0 laviebio.csv;https://jira.prod.evogene.host/secure/attachment/50803/reference+production_+Acidilobus_saccharovorans_345_15_14v1%2C+min+busco+score+selected+is+0+laviebio.csv","06/Jun/23 6:45 AM;noama;reference production_ undefined, min busco score selected is 0 biomica.csv;https://jira.prod.evogene.host/secure/attachment/50805/reference+production_+undefined%2C+min+busco+score+selected+is+0+biomica.csv",,,,,,,,,,,,,,,,,,,,,,,Tool Support,Bug or False,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-742,,,,,,,,,MicroBoost,0|i011xz:,01/06/2023
Dev support (Noam) - Jun,CPB-992,49405,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,noama,duduz,duduz,04/06/2023 11:07,02/07/2023 07:48,12/09/2023 13:19,,30/06/2023 00:00,duduz,,,,,,,,,,help to load kraken_taxonomy new data;04/Jun/23 11:39 AM;noama;14400,support on metaBacumLoader;29/Jun/23 10:58 AM;noama;21600,,,,,,,,,,,,,,,,,,,,,,,,57600,21600,36000,62%,57600,21600,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i013x3:,01/06/2023
Node18 and Oracle 19 QA - Microboost,CPB-1014,51505,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,noama,drorf,drorf,28/06/2023 08:50,17/07/2023 11:04,12/09/2023 13:19,,19/07/2023 00:00,drorf,,,,,,,,,,;16/Jul/23 11:59 AM;noama;28800,;17/Jul/23 11:02 AM;noama;10800,,,,,,,,,,,,,,,,,,,,,,,,57600,18000,39600,68%,57600,18000,39600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P271 - CPB Upkeep Computational (2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i014un:,01/07/2023
Advanced search changes,CPB-1000,50701,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,noama,duduz,duduz,20/06/2023 09:47,19/07/2023 08:46,12/09/2023 13:19,,31/07/2023 00:00,duduz,,,,,,,,,,"* remove duplicates record by column name, multi columns
 * headers list to display by filter columns;10/Jul/23 11:49 AM;noama;21600","* align filters rows
 * added clear button
 * OR logic operator will use field from first filter row
 * removed ROW_NUM and ROWNUMBER fields from downloaded file (PRODID $ CLUSTER_ID also need to be removed?)
 * switch between concise data and full data, switch added to display, data extrating and display in progress

 ;11/Jul/23 12:07 PM;noama;28800","* fix ""clear"" button functionality
 * update switch between concise/full data, not relevant whet filter by ORGANISM/BUSCO.
 * add busco column to filter by ORGANISM;12/Jul/23 12:03 PM;noama;28800","* fix operator selection numeric/text.
 * added, order of filter editing.
 * fix busco filter concise results

 ;13/Jul/23 11:19 AM;noama;28800",uploaded advanced search updates;17/Jul/23 11:37 AM;noama;7200,,,,,,,,,,,,,,,,,,,,,144000,28800,115200,80%,144000,28800,115200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPB-1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,,,,,,,,,,CPB,0|i014h3:,01/07/2023
metaBacumLoader.py modifications and support of CPB-1022,CPB-1026,52100,,Task,Closed,CPB,CPB,software,drorf,,,Medium,,noama,iliab,iliab,05/07/2023 08:25,24/07/2023 04:12,12/09/2023 13:19,,16/07/2023 00:00,iliab,noama,,,,,,,,,;06/Jul/23 6:53 AM;noama;18000,;06/Jul/23 10:58 AM;noama;21600,"fix logs,

added params for kegg and kraken version;09/Jul/23 12:05 PM;noama;28800",execute ko refunder loading for IBS;11/Jul/23 6:36 AM;noama;7200,debug PRJNA762360 pathway loading;24/Jul/23 4:12 AM;noama;7200,,,,,,,,,,,,,,,,,,,,,86400,3600,82800,95%,86400,3600,82800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P279 - CPB projects Computational (CPB 2023),,,,,"1. Who is the user? type of user?

2. What is required?

3. What is the value for the customer? 

4. At least 1 success scenario (acceptance criteria)
",,,MIC-828,,,,,,,,,CPB,0|i0153j:,01/07/2023
