Issue key,Issue id,Parent id,Custom field (Epic Link),Status,Custom field (Execution Status),Work Ratio,Due Date,Summary,Original Estimate,Time Spent,Assignee,Custom field (Budget),Custom field (Product),Sprint,Sprint,Creator,Custom field (Teams),Custom field (Teams)
INTBIOM-182,66595,,,Closed,As Planned,,30/04/2024 00:00,TestAUG 1,,,drorf,P271 - CPB Upkeep Computational (CPB),MicroBoost,8/1/24,,drorf,Algo,
INTBIOM-181,66594,,,Closed,As Planned,,30/04/2024 00:00,Test jul1,,,drorf,P271 - CPB Upkeep Computational (CPB),MicroBoost,7/1/24,,drorf,Algo,
INTBIOM-180,66593,,INTBIOM-121,Closed,As Planned,9223372036854770000%,30/04/2024 00:00,fix P999 to P271 - approved by sharon ,0,115200,liorr,P271 - CPB Upkeep Computational (CPB),MicroBoost,6/1/24,,drorf,Algo,
INTBIOM-179,66592,,,Closed,As Planned,,30/04/2024 00:00,Test may1,,360,drorf,P271 - CPB Upkeep Computational (CPB),MicroBoost,5/1/24,,drorf,Algo,
INTBIOM-178,66591,,,Closed,As Planned,,30/04/2024 00:00,Test1,,360,drorf,P271 - CPB Upkeep Computational (CPB),MicroBoost,4/1/24,,drorf,Algo,
INTBIOM-177,66569,,INTBIOM-121,Closed,,,04/04/2024 00:00,PICKAXE topic mode error - DEV,,7200,duduz,P271 - CPB Upkeep Computational (CPB),MicroBoost,4/1/24,,inbarp,Dev,
INTBIOM-176,66568,,INTBIOM-121,Closed,,,04/04/2024 00:00,PICKAXE topic mode error,,28800,inbarp,P271 - CPB Upkeep Computational (CPB),MicroBoost,4/1/24,,sharonl,Customer success,
INTBIOM-175,66545,,BIOM-371,Closed,,16%,13/06/2024 00:00,Funda UI changes- addition of external abundance tables-Continue Algo,86400,14400,anatm,P999 â€“ General (Biomica),MicroBoost,6/1/24,,inbarp,Algo,
INTBIOM-174,66544,,BIOM-371,Closed,,,13/06/2024 00:00,Funda UI changes- addition of external abundance tables-Continue - MB,,32400,inbarp,P999 â€“ General (Biomica),MicroBoost,6/1/24,,inbarp,Product,
INTBIOM-173,66532,,INTBIOM-163,Closed,As Planned,50%,30/05/2024 00:00,FUNDA- change the names of output files and folder to include job id & taxonomic rank DEV,28800,14400,duduz,P999 â€“ General (Biomica),MicroBoost,5/1/24,,inbarp,Dev,
INTBIOM-172,66530,,INTBIOM-72,Closed,,25%,31/03/2024 00:00,Funda UI changes- addition of external abundance tables-Continue - Mar,115200,28800,anatm,P999 â€“ General (Biomica),MicroBoost,3/1/24,,drorf,Algo,
INTBIOM-171,66459,,INTBIOM-121,Closed,As Planned,60%,26/05/2024 00:00, Adding Archeal genomes to the CONFUTER -Part 3,144000,86400,liorr,P999 â€“ General (Biomica),MicroBoost,5/1/24,,sharonl,Bio-Info,
INTBIOM-170,66458,,INTBIOM-121,Closed,As Planned,83%,30/04/2024 00:00,Adding Archeal genomes to the CONFUTER -Part 2,86400,72000,liorr,P999 â€“ General (Biomica),MicroBoost,4/1/24,,sharonl,Bio-Info,
INTBIOM-168,66430,,BIOM-371,Closed,Delay - Duration,83%,22/04/2024 00:00,FUNDA - definition of groups 1 and 2 -Algo,86400,72000,robertoo,P999 â€“ General (Biomica),MicroBoost,4/1/24,,inbarp,Algo,Customer success
INTBIOM-167,66264,,INTBIOM-121,Closed,As Planned,100%,30/04/2024 00:00,Floating value assembly matrices,57600,57600,iliab,P999 â€“ General (Biomica),MicroBoost,4/1/24,,sharonl,Bio-Info,
INTBIOM-166,66263,,INTBIOM-121,Closed,,87%,31/03/2024 00:00, Run 2 samples in the strainDB analysis,57600,50400,liorr,P999 â€“ General (Biomica),MicroBoost,3/1/24,,sharonl,Bio-Info,
INTBIOM-165,66102,,INTBIOM-163,Closed,As Planned,33%,26/05/2024 00:00,FUNDA- change the names of output files and folder to include job id & taxonomic rank Algo,86400,28800,anatm,P999 â€“ General (Biomica),MicroBoost,5/1/24,,inbarp,Algo,
INTBIOM-164,66101,,INTBIOM-163,Closed,,62%,31/03/2024 00:00,FUNDA- change the names of output files and folder to include job id & taxonomic rank MB QA,28800,18000,inbarp,P999 â€“ General (Biomica),MicroBoost,5/1/24,,inbarp,Product,
INTBIOM-162,65605,,INTBIOM-121,Closed,As Planned,100%,23/04/2024 00:00,Adding Archeal genomes to the CONFUTER -Part 1,57600,57600,liorr,P999 â€“ General (Biomica),MicroBoost,4/1/24,,sharonl,Bio-Info,
INTBIOM-160,65304,,INTBIOM-72,Closed,,140%,30/11/2023 00:00,ClinicalDB - Update parameters' scales intervals and sensitivity- MB QA,9000,12600,inbarp,P999 â€“ General (Biomica),MicroBoost,2/1/24,,inbarp,Product,
INTBIOM-159,65303,,INTBIOM-72,Closed,,50%,30/11/2023 00:00,ClinicalDB - Update parameters' scales intervals and sensitivity,14400,7200,noama,P999 â€“ General (Biomica),MicroBoost,11/1/23,2/1/24,inbarp,Dev,
INTBIOM-158,65016,,BIOM-371,Closed,,,17/02/2024 00:00,Funda UI changes- addition of external abundance tables-Continue - MB,,57600,inbarp,P999 â€“ General (Biomica),MicroBoost,3/1/24,,inbarp,Product,
INTBIOM-156,64900,,INTBIOM-72,Closed,,60%,17/03/2024 00:00,Funda UI changes- addition of external abundance tables-Continue- Dev,144000,86400,nerias,P999 â€“ General (Biomica),MicroBoost,3/1/24,,inbarp,Dev,
INTBIOM-155,64803,,INTBIOM-121,Closed,,,19/02/2024 00:00,Metadata components can not be chosen in metabacum- QA,,,inbarp,P271 - CPB Upkeep Computational (CPB),MicroBoost,2/1/24,,elanitec,Customer success,
INTBIOM-154,64801,,INTBIOM-121,Closed,,,19/02/2024 00:00,Metadata components can not be chosen in metabacum,,3600,noama,P271 - CPB Upkeep Computational (CPB),MicroBoost,2/1/24,,elanitec,Dev,
INTBIOM-153,64800,,INTBIOM-121,Closed,,,18/02/2024 00:00,Filtering according to taxonomical entities doesnt work in metabacum - BUG MB QA,,,inbarp,P999 â€“ General (Biomica),MicroBoost,2/1/24,,elanitec,Customer success,
INTBIOM-152,64704,,INTBIOM-121,Closed,,,18/02/2024 00:00, Filtering according to taxonomical entities doesn't work in metabacum - BUG,,,inbarp,P999 â€“ General (Biomica),MicroBoost,2/1/24,,sharonl,Customer success,
INTBIOM-151,64703,,INTBIOM-121,Closed,,,19/02/2024 00:00,Metadata components can not be chosen in metabacum,,,inbarp,P999 â€“ General (Biomica),MicroBoost,2/1/24,,sharonl,Customer success,
INTBIOM-150,64509,,INTBIOM-72,Closed,,9223372036854770000%,29/02/2024 00:00,Funda UI changes- DSFDR permutation in multiple funda runs - MB QA,0,28800,inbarp,P999 â€“ General (Biomica),MicroBoost,2/1/24,,inbarp,Product,
INTBIOM-149,64508,,INTBIOM-146,Closed,,75%,29/02/2024 00:00,Funda UI changes- DSFDR permutation in multiple funda runs - Dev,57600,43200,duduz,P999 â€“ General (Biomica),MicroBoost,2/1/24,,inbarp,Dev,
INTBIOM-148,64507,,INTBIOM-77,Closed,,,29/02/2024 00:00,Product QA - Kraken of the Sheba dataset: Metabacum,,3600,inbarp,P255 - IBD (Biomica 2023),MicroBoost,2/1/24,,gala,Product,
INTBIOM-147,64506,,INTBIOM-77,Closed,,,29/02/2024 00:00,Product QA - Assembly and refunder of the Sheba dataset: Metabacum,,25200,inbarp,P255 - IBD (Biomica 2023),MicroBoost,2/1/24,,gala,Product,
INTBIOM-145,63906,,INTBIOM-77,Closed,,,22/12/2023 00:00,Product QA - Assembly analysis of the Sheba dataset: Generate sample_data.txt and upload to Metabacum,,28800,inbarp,P271 - CPB Upkeep Computational (CPB),MicroBoost,2/1/24,,gala,Product,
INTBIOM-143,63616,,INTBIOM-72,Closed,,100%,04/02/2024 00:00,Funda: Multiple error emails for a certain failed job & Lack of error emails for other jobs (all jobs submitted at once).Feb2024,57600,57600,anatm,P999 â€“ General (Biomica),MicroBoost,2/1/24,,inbarp,Algo,
INTBIOM-142,63618,,INTBIOM-121,Closed,,,18/01/2024 00:00,Funda: Multiple error emails for a certain failed job & Lack of error emails for other jobs (all jobs submitted at once) - QA MB,,108000,inbarp,P999 â€“ General (Biomica),MicroBoost,2/1/24,,inbarp,Product,
INTBIOM-140,63614,,INTBIOM-78,Closed,,100%,08/02/2024 00:00,StrainDB analysis of PRJNA928744- Feb,28800,28800,liorr,P252 - Cancer Immun adjuvant (Biomica),MicroBoost,2/1/24,,gala,Bio-Info,
INTBIOM-139,63610,,BIOM-371,Closed,,31%,17/02/2024 00:00,Funda UI changes- addition of external abundance tables-Continue - MB,115200,36000,inbarp,P999 â€“ General (Biomica),MicroBoost,2/1/24,,elanitec,Product,
INTBIOM-137,63500,,INTBIOM-78,Closed,,100%,06/02/2024 00:00,PRJNA928744 - Generate sample_data.txt and Upload,57600,57600,iliab,P252 - Cancer Immun adjuvant (Biomica),MicroBoost,2/1/24,,gala,Bio-Info,
INTBIOM-136,63310,,INTBIOM-138,Closed,,100%,29/02/2024 00:00,Peptider support,28800,28800,michala,P252 - Cancer Immun adjuvant (Biomica),CPB,2/1/24,,sharonl,Bio-Info,
INTBIOM-135,63302,,INTBIOM-77,Closed,,100%,08/02/2024 00:00,Sheba dataset: Generate sample_data.txt and upload to Metabacum,28800,28800,liorr,P255 - IBD (Biomica 2023),MicroBoost,2/1/24,,gala,Bio-Info,
INTBIOM-134,63301,,INTBIOM-77,Closed,,100%,31/01/2024 00:00,KRAKEN fix - StrainDB analysis on Sheba data,57600,57600,liorr,P255 - IBD (Biomica 2023),MicroBoost,1/1/24,,gala,Bio-Info,
INTBIOM-132,62810,,INTBIOM-72,Closed,,100%,26/02/2024 00:00,Funda UI changes- addition of external abundance tables-Continue,144000,144000,anatm,P999 â€“ General (Biomica),MicroBoost,2/1/24,,elanitec,Algo,
INTBIOM-131,62809,,INTBIOM-72,Closed,,,18/01/2024 00:00,Funda: Multiple error emails for a certain failed job & Lack of error emails for other jobs (all jobs submitted at once),,158400,anatm,P999 â€“ General (Biomica),MicroBoost,1/1/24,,inbarp,Algo,
INTBIOM-130,62703,,INTBIOM-121,Closed,,100%,27/01/2024 00:00,Retrival of Biomica's metagenomic data- download,57600,57600,michala,P999 â€“ General (Biomica),CPB,1/1/24,,gala,Bio-Info,
INTBIOM-129,62403,,MIC-742,Closed,,,15/01/2024 00:00,"FUNDA: Create Input File bug - HMP2, IBS, SRP057027, BIOM118 datasets  ",,7200,duduz,P271 - CPB Upkeep Computational (CPB),MicroBoost,1/1/24,,inbarp,Dev,
INTBIOM-128,62402,,INTBIOM-121,Closed,,250%,27/01/2024 00:00,Peptider- planning the project,57600,144000,michala,P252 - Cancer Immun adjuvant (Biomica),CPB,1/1/24,,gala,Bio-Info,
INTBIOM-127,62302,,MIC-742,Closed,,,15/01/2024 00:00,FUNDA: Create Input File bug - tested on Sheba dataset  ,,14400,duduz,P271 - CPB Upkeep Computational (CPB),MicroBoost,1/1/24,,inbarp,Dev,
INTBIOM-125,62101,,INTBIOM-77,Closed,,60%,30/01/2024 00:00,Kraken analysis on Sheba data-SH_017_DKDL220013466,72000,43200,gala,P255 - IBD (Biomica 2023),MicroBoost,1/1/24,,gala,Bio-Info,
INTBIOM-124,62100,,INTBIOM-77,Closed,,60%,30/01/2024 00:00,Refunder analysis on Sheba data- A_302_DKDL220013467,72000,43200,michala,P255 - IBD (Biomica 2023),MicroBoost,1/1/24,,gala,Bio-Info,
INTBIOM-120,61700,,INTBIOM-121,Closed,,100%,27/01/2024 00:00, Retrival of Biomica's metagenomic data,57600,57600,michala,P999 â€“ General (Biomica),CPB,1/1/24,,sharonl,Bio-Info,
INTBIOM-119,61206,,INTBIOM-79,Closed,,50%,29/02/2024 00:00,PRJNA762360 sample_data.txt,57600,28800,michala,P252 - Cancer Immun adjuvant (Biomica),MicroBoost,2/1/24,,gala,Bio-Info,
INTBIOM-118,60848,,INTBIOM-72,Closed,,0%,31/01/2024 00:00,Pickaxe - filter through all results in the UI - Jan,288000,,nerias,P999 â€“ General (Biomica),MicroBoost,1/1/24,,duduz,Dev,
INTBIOM-115,60722,,INTBIOM-72,Closed,,,08/12/2023 00:00, Funda UI CPBC,,,duduz,P999 â€“ General (Biomica),MicroBoost,1/1/24,,sharonl,Dev,
INTBIOM-113,60694,,INTBIOM-72,Closed,,0%,31/01/2024 00:00,Pickaxe - filter through all results in the UI - ALGO,57600,,robertoo,P999 - General (LavieBio),MicroBoost,1/1/24,,drorf,Algo,
INTBIOM-104,60599,,INTBIOM-78,Closed,,100%,31/12/2023 00:00,StrainDB analysis of PRJNA928744,28800,28800,liorr,P252 - Cancer Immun adjuvant (Biomica),MicroBoost,1/1/24,,gala,Bio-Info,
INTBIOM-96,60200,,INTBIOM-79,Closed,,60%,29/02/2024 00:00,PRJNA762360 Normalization - Feb,72000,43200,michala,P252 - Cancer Immun adjuvant (Biomica),MicroBoost,2/1/24,,iliab,Bio-Info,
INTBIOM-63,58309,,INTBIOM-80,Closed,,0%,31/10/2023 00:00,"evocogs, KOs and pathways assembly analysis on downloaded clean data from RJNA822660 - Generate sample_data.txt and Upload",115200,,sharonl,P255 - IBD (Biomica 2023),MicroBoost,1/1/24,,sassim,Bio-Info,
INTBIOM-62,58308,,INTBIOM-80,Closed,,0%,31/10/2023 00:00,"evocogs, KOs and pathways assembly analysis on downloaded clean data from RJNA822660 - Generate statistics in R",57600,,sharonl,P255 - IBD (Biomica 2023),MicroBoost,1/1/24,,sassim,Bio-Info,
INTBIOM-61,58307,,INTBIOM-80,Closed,,0%,30/11/2023 00:00,"evocogs, KOs and pathways assembly analysis on downloaded clean data from RJNA822660 - Normalization",72000,,sharonl,P255 - IBD (Biomica 2023),MicroBoost,1/1/24,,sassim,Bio-Info,
INTBIOM-60,58306,,INTBIOM-80,Closed,,0%,31/10/2023 00:00,"evocogs, KOs and pathways assembly analysis on downloaded clean data from RJNA822660 - Annotation",72000,,sharonl,P255 - IBD (Biomica 2023),MicroBoost,1/1/24,,sassim,Bio-Info,
INTBIOM-59,58304,,INTBIOM-78,Closed,,108%,31/01/2024 00:00,"evocogs, KOs and pathways assembly analysis on downloaded clean data from PRJNA928744 - Generate sample_data.txt and Upload",86400,93600,iliab,P252 - Cancer Immun adjuvant (Biomica),MicroBoost,1/1/24,,elanitec,Bio-Info,
INTBIOM-58,58303,,INTBIOM-78,Closed,,0%,31/10/2023 00:00,"evocogs, KOs and pathways assembly analysis on downloaded clean data from PRJNA928744 - Generate statistics in R",72000,,sharonl,P255 - IBD (Biomica 2023),MicroBoost,1/1/24,,elanitec,Bio-Info,
INTBIOM-57,58302,,INTBIOM-78,Closed,,100%,26/12/2023 00:00,"evocogs, KOs and pathways assembly analysis on downloaded clean data from PRJNA928744 - Normalization",72000,72000,iliab,P252 - Cancer Immun adjuvant (Biomica),MicroBoost,1/1/24,,elanitec,Bio-Info,
INTBIOM-47,57926,,INTBIOM-80,Closed,,0%,31/10/2023 00:00,Load clinical metadata to clinicalDB for data in PRJNA822660,28800,,duduz,P255 - IBD (Biomica 2023),CPB,1/1/24,,elanitec,Dev,
GEN-128,66529,,,Closed,,,03/04/2024 00:00,EVOLVE - A job run on 26.03.24 does not appear on the jobs list,,36000,itair,P271 - CPB Upkeep Computational (CPB),Generator,3/1/24,,inbarp,Algo,
GEN-122,66232,,,Closed,,,31/03/2024 00:00,BI Support ,,21600,gala,P402 - Casterra Generator,Generator,3/1/24,,drorf,Bio-Info,
GEN-121,66262,,GEN-123,Closed,,66%,29/02/2024 00:00,Centrelize tables in Generator new schema - Mar,86400,57600,duduz,P402 - Casterra Generator,Generator,3/1/24,,duduz,Dev,
GEN-120,65212,,INTCAS-5,Closed,,81%,31/03/2024 00:00,Phyletic documentation,115200,93600,michala,P402 - Casterra Generator,Generator,3/1/24,,gala,Bio-Info,
GEN-119,65400,,INTCAS-5,Closed,,104%,14/03/2024 00:00,Phyletic UI - rewrite to new arch.,288000,302400,noama,P402 - Casterra Generator,Generator,3/1/24,,duduz,Dev,
GEN-118,65211,,GEN-123,Closed,,100%,14/03/2024 00:00,Phyletic DAG,57600,57600,michala,P402 - Casterra Generator,Generator,3/1/24,,gala,Bio-Info,
GEN-117,65210,,GEN-123,Closed,,100%,12/03/2024 00:00,filter vcf,86400,86400,michala,P402 - Casterra Generator,Generator,3/1/24,,gala,Bio-Info,
GEN-116,65401,,GEN-123,Closed,,12%,17/03/2024 00:00,Adjust loader scripts to Generator,144000,18060,duduz,P402 - Casterra Generator,Generator,3/1/24,,duduz,Dev,
GEN-113,65209,,GEN-123,Closed,,100%,07/03/2024 00:00,vcf to clusters,115200,115200,michala,P402 - Casterra Generator,CPB,3/1/24,,gala,Bio-Info,
GEN-110,66202,,GEN-123,Closed,,50%,10/03/2024 00:00,Check and fix issues in eVolve for Generator,28800,14400,duduz,P402 - Casterra Generator,Generator,3/1/24,,duduz,Dev,
GEN-102,59700,,CHEM-859,Closed,,25%,21/02/2024 00:00,CLONE - Evolve update based on QA,115200,28800,duduz,P282 - Product general (Product 2023),ChemPass,2/1/24,,boazm,Dev,
DEVOPS-651,67504,,DEVOPS-429,Closed,As Planned,50%,01/09/2024 00:00,cpb upkeep ,288000,144000,morank,P271 - CPB Upkeep Computational (CPB),,8/1/24,,morank,,
DEVOPS-650,67503,,DEVOPS-429,Closed,As Planned,100%,31/08/2024 00:00,DEVOPS OOO - Aug 2024,144000,144000,morank,P000 - Out Of Office,,8/1/24,,morank,,
DEVOPS-638,67476,,DEVOPS-428,Closed,As Planned,96%,25/09/2024 00:00,Node5 Cleanup-Aug2024,144000,138240,morank,P271 - CPB Upkeep Computational (CPB),,8/1/24,,morank,,
DEVOPS-637,67475,,DEVOPS-431,Closed,As Planned,,29/08/2024 00:00,data copy from GCP to /cpbclouds/agplenus,,3600,taln,P271 - CPB Upkeep Computational (CPB),,8/1/24,,morank,,
DEVOPS-635,67417,,DEVOPS-429,Closed,As Planned,100%,30/08/2024 00:00,error while running new alphafold ,28800,28800,vladz,P271 - CPB Upkeep Computational (CPB),,8/1/24,,morank,DevOps,
DEVOPS-634,67414,,DEVOPS-565,Closed,As Planned,100%,30/09/2024 00:00,DEV Machines - Reduce the amount of servers and consider common ssd storage,144000,144000,andreyl,P271 - CPB Upkeep Computational (CPB),,8/1/24,,morank,DevOps,
DEVOPS-633,67407,,DEVOPS-428,Closed,As Planned,,22/08/2024 00:00,migrate datasets from node1 to node5,,86400,andreyl,P271 - CPB Upkeep Computational (CPB),,8/1/24,,morank,,
DEVOPS-632,67344,,DEVOPS-428,Closed,As Planned,,12/08/2024 00:00,"ceph-node1 cleanup - urgent , 94% in use",,28800,andreyl,P271 - CPB Upkeep Computational (CPB),,8/1/24,,morank,DevOps,
DEVOPS-629,67315,,DEVOPS-571,Closed,As Planned,,31/08/2024 00:00,update tool and create service accounts for GCP - on prem data sync,,,vladz,P295 - GCP MIGRATION (CPB),,8/1/24,,taln,,
DEVOPS-628,67314,,DEVOPS-571,Closed,As Planned,100%,30/09/2024 00:00,sync data from on prem to microboost,86400,86400,taln,P295 - GCP MIGRATION (CPB),,8/1/24,,taln,,
DEVOPS-626,67312,,,Closed,As Planned,,31/08/2024 00:00,projects,,201600,taln,P279 - CPB projects Computational (CPB),,8/1/24,,taln,,
DEVOPS-625,67310,,,Closed,As Planned,,31/08/2024 00:00,upkeep ,,201600,taln,P271 - CPB Upkeep Computational (CPB),,8/1/24,,taln,,
DEVOPS-624,67309,,,Closed,As Planned,100%,31/07/2024 00:00,devops-OOO-July2024,28800,28800,morank,P271 - CPB Upkeep Computational (CPB),,7/1/24,,morank,DevOps,
DEVOPS-622,67303,,DEVOPS-572,Closed,As Planned,80%,31/07/2024 00:00,Phase 3. Environment Setup - Aug,144000,115200,morank,P279 - CPB projects Computational (CPB),,8/1/24,,morank,DevOps,
DEVOPS-620,67247,,DEVOPS-429,Closed,As Planned,0%,16/08/2024 00:00,Metacyc project,86400,,vladz,P279 - CPB projects Computational (CPB),,8/1/24,,morank,DevOps,
DEVOPS-619,67207,,DEVOPS-429,Closed,As Planned,100%,25/07/2024 00:00,SSL Cert update - Documentation,14400,14400,morank,P271 - CPB Upkeep Computational (CPB),,7/1/24,,morank,DevOps,
DEVOPS-617,67205,,DEVOPS-572,Closed,As Planned,100%,30/08/2024 00:00,build new PROD kubernetes cluster- Aug ,144000,144000,morank,P279 - CPB projects Computational (CPB),,8/1/24,,morank,DevOps,
DEVOPS-615,67202,,DEVOPS-571,Closed,As Planned,20%,31/07/2024 00:00,Microboost GCP - Copy data for lavie and biomica to external server,432000,86400,andreyl,P295 - GCP MIGRATION (CPB),,7/1/24,,morank,DevOps,
DEVOPS-614,67201,,DEVOPS-429,Closed,As Planned,100%,31/07/2024 00:00,add disks to DR (from all-stor),28800,28800,andreyl,P271 - CPB Upkeep Computational (CPB),,7/1/24,,morank,DevOps,
DEVOPS-613,67199,,DEVOPS-429,Closed,As Planned,110%,26/07/2024 00:00,Clearing out equipment from  314,144000,158400,andreyl,P271 - CPB Upkeep Computational (CPB),,7/1/24,,morank,,
DEVOPS-612,67198,,DEVOPS-429,Closed,As Planned,75%,31/08/2024 00:00,Clearing out equipment (disks and all unnecessary hardware) from 318,115200,86400,andreyl,P271 - CPB Upkeep Computational (CPB),,8/1/24,,morank,DevOps,
DEVOPS-611,67193,,DEVOPS-571,Closed,As Planned,,31/08/2024 00:00,estimate pipelines resource usage for laviebio hpc,,86400,taln,P279 - CPB projects Computational (CPB),MicroBoost,8/1/24,,taln,,
DEVOPS-610,67190,,DEVOPS-431,Closed,As Planned,100%,17/07/2024 00:00,GCP-Monitor chempass,28800,28800,morank,P279 - CPB projects Computational (CPB),,7/1/24,,morank,DevOps,
DEVOPS-609,67179,,,Closed,As Planned,100%,31/07/2024 00:00,Running Active search on GCP vs Locally (OnPrem) ,28800,28800,morank,P271 - CPB Upkeep Computational (CPB),,7/1/24,,morank,DevOps,
DEVOPS-608,67178,,DEVOPS-571,Closed,As Planned,,18/07/2024 00:00,update funda to use new summary directory,,,taln,P279 - CPB projects Computational (CPB),,7/1/24,,taln,,
DEVOPS-607,67177,,DEVOPS-571,Closed,As Planned,,18/07/2024 00:00,"create biomica, laviebio projects",,14400,taln,P279 - CPB projects Computational (CPB),,7/1/24,,taln,,
DEVOPS-606,67176,,DEVOPS-571,Closed,As Planned,,18/07/2024 00:00,create list for gcp upload ,,57600,taln,P279 - CPB projects Computational (CPB),,7/1/24,,taln,,
DEVOPS-605,67167,,DEVOPS-428,Closed,As Planned,100%,08/08/2024 00:00,Make sure that all data sets from bc1-3 exist on dr,57600,57600,andreyl,P271 - CPB Upkeep Computational (CPB),,8/1/24,,morank,DevOps,
DEVOPS-604,67166,,DEVOPS-428,Closed,As Planned,0%,31/07/2024 00:00,DR- sync Central/data_generation data from bc1,144000,,andreyl,P271 - CPB Upkeep Computational (CPB),,7/1/24,,morank,DevOps,
DEVOPS-603,67160,,DEVOPS-429,Closed,As Planned,87%,31/07/2024 00:00,upgrade alphafold version (to support cuda 12.2),86400,75600,morank,P271 - CPB Upkeep Computational (CPB),,7/1/24,,morank,DevOps,
DEVOPS-601,67156,,DEVOPS-572,Closed,As Planned,87%,31/07/2024 00:00,create and configure 3  masters vms for new production kubernetes env,57600,50400,andreyl,P279 - CPB projects Computational (CPB),,7/1/24,,morank,DevOps,
DEVOPS-600,67154,,,Closed,As Planned,0%,31/07/2024 00:00,Phase 3. Environment Setup (July),144000,,morank,P279 - CPB projects Computational (CPB),,7/1/24,,morank,DevOps,
DEVOPS-598,67151,,DEVOPS-572,Closed,As Planned,20%,31/07/2024 00:00,Phase 1: Assessment and Planning,288000,57600,morank,P279 - CPB projects Computational (CPB),,7/1/24,,morank,DevOps,
DEVOPS-597,67145,,DEVOPS-429,Closed,As Planned,300%,09/07/2024 00:00,put all disks under 4T in boxes ,28800,86400,andreyl,P271 - CPB Upkeep Computational (CPB),,7/1/24,,morank,DevOps,
DEVOPS-595,67122,,DEVOPS-429,Closed,As Planned,100%,11/07/2024 00:00,update ssl certificate,57600,57600,morank,P271 - CPB Upkeep Computational (CPB),,7/1/24,,morank,DevOps,
DEVOPS-594,67115,,,Closed,As Planned,73%,30/06/2024 00:00,devops-upkeep-June2024,576000,423360,morank,P271 - CPB Upkeep Computational (CPB),,6/1/24,,morank,DevOps,
DEVOPS-592,67108,,DEVOPS-429,Closed,As Planned,100%,31/07/2024 00:00,DevOps Upkeep- July 2024,374400,374400,morank,P271 - CPB Upkeep Computational (CPB),,7/1/24,,morank,DevOps,
DEVOPS-591,67103,,,Closed,As Planned,,31/07/2024 00:00,projects ,,216000,taln,P279 - CPB projects Computational (CPB),,7/1/24,,taln,,
DEVOPS-590,67102,,,Closed,As Planned,,31/07/2024 00:00,upkeep ,,115200,taln,P271 - CPB Upkeep Computational (CPB),,7/1/24,,taln,,
DEVOPS-589,67101,,,Closed,As Planned,,31/07/2024 00:00,ooo,,259200,taln,P000 - Out Of Office,,7/1/24,,taln,,
DEVOPS-586,67090,,,Closed,As Planned,100%,30/06/2024 00:00,devops-COLORS-June,16200,16200,morank,P290 - Colors (Product),,6/1/24,,morank,DevOps,
DEVOPS-583,67086,,,Closed,As Planned,,30/06/2024 00:00,upkeep,,72000,taln,P271 - CPB Upkeep Computational (CPB),,6/1/24,,taln,,
DEVOPS-582,67085,,,Closed,As Planned,9223372036854770000%,30/06/2024 00:00,ooo,0,14400,taln,P000 - Out Of Office,,6/1/24,,taln,,
DEVOPS-581,67084,,,Closed,As Planned,,30/06/2024 00:00,projects ,,273600,taln,P279 - CPB projects Computational (CPB),,6/1/24,,taln,,
DEVOPS-580,67080,,DEVOPS-429,Closed,As Planned,100%,30/06/2024 00:00,devops OOO June - Andrey,86400,86400,andreyl,P000 - Out Of Office,,6/1/24,,morank,DevOps,
DEVOPS-579,67079,,DEVOPS-429,Closed,As Planned,250%,30/06/2024 00:00,devops OOO June - Moran,28800,72000,morank,P000 - Out Of Office,,6/1/24,,morank,DevOps,
DEVOPS-578,67064,,DEVOPS-571,Closed,As Planned,87%,30/06/2024 00:00,test connection to oracle using VPN,115200,100800,taln,P279 - CPB projects Computational (CPB),,6/1/24,,taln,,
DEVOPS-577,67059,,DEVOPS-431,Closed,As Planned,56%,25/06/2024 00:00,Upload Metabacum API to GCP,28800,16200,vladz,P279 - CPB projects Computational (CPB),,6/1/24,,morank,DevOps,
DEVOPS-576,67045,,DEVOPS-429,Closed,As Planned,700%,23/06/2024 00:00,Schrodinger license update ,3600,25200,morank,P271 - CPB Upkeep Computational (CPB),,6/1/24,,morank,,
DEVOPS-575,66981,,DEVOPS-571,Closed,As Planned,,30/06/2024 00:00,microboost migration planning,,100800,taln,P279 - CPB projects Computational (CPB),,6/1/24,,taln,,
DEVOPS-574,66980,,DEVOPS-429,Closed,As Planned,0%,16/06/2024 00:00,worker7-hpc is down,3600,,andreyl,P271 - CPB Upkeep Computational (CPB),,6/1/24,,morank,DevOps,
DEVOPS-573,66979,,DEVOPS-571,Closed,As Planned,100%,20/06/2024 00:00,"NCDU for laviebio, biomica and central data sets",43200,43200,andreyl,P279 - CPB projects Computational (CPB),,6/1/24,,morank,DevOps,
DEVOPS-570,66974,,DEVOPS-429,Closed,As Planned,100%,21/06/2024 00:00,postgres-hpc server: open access for Roy Sorero  (same as he already has for udb-m),7200,7200,andreyl,P271 - CPB Upkeep Computational (CPB),,6/1/24,,morank,,
DEVOPS-569,66959,,DEVOPS-428,Closed,,100%,25/02/2024 00:00,Feb 279 DevOps,172800,172800,morank,P279 - CPB projects Computational (CPB),,2/1/24,,morank,DevOps,
DEVOPS-568,66955,,DEVOPS-429,Closed,As Planned,100%,05/07/2024 00:00,GCP Course - Cloud engineer - June,288000,288000,andreyl,P271 - CPB Upkeep Computational (CPB),,6/1/24,,morank,DevOps,
