Summary,Issue key,Project name,Assignee,Creator,Original Estimate,Original Estimate Days,Time Spent,Time Spent Days,Work Ratio,Custom field (Budget),Custom field (Epic Link),Custom field (Epic Name),Custom field (Product),Sprint,Custom field (Teams)
Ilia Meetings,CPB-928,CPB,iliab,iliab,,0,54000,1.875,,P279 - CPB projects Computational (CPB 2023),,,CPB,1 Mar 23,Bio-Info
"create ""productions"" for metagenome- Feb",CPB-848,CPB,iliab,gala,57600,2,43200,1.5,75%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
First DAG- genome to production,CPB-836,CPB,iliab,gala,86400,3,28800,1,33%,P276 - CTO ?�� Architecture (CPB),CPB-762,,CPB,1 Jan 23,Bio-Info
Support- Jan (Ilia),CPB-765,CPB,iliab,gala,57600,2,32400,1.125,56%,P997-271 - Upkeep Computational ,,,CPB,1 Jan 23,Bio-Info
Download metagenomic data from Sheba + filtration and QA - Cont.,INTBIOM-7,Biomica Internal,iliab,elanitec,14400,0.5,14400,0.5,100%,P255 - IBD (Biomica 2023),,,MicroBoost,1 Jun 23,Bio-Info
Genome page main UI -  Droplist VFDB BI support,MIC-756,MicroBoost,iliab,larisar,86400,3,57600,2,66%,P265 - Product- MB (Microboost 2023),MIC-720,,MicroBoost,1 May 23,Bio-Info
Isolate assembly DAG update: plasmids,CPB-986,CPB,iliab,iliab,86400,3,86400,3,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Jun 23,Bio-Info
Update of BACTANA 1,CPB-979,CPB,iliab,iliab,100800,3.5,86400,3,85%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Jun 23,Bio-Info
CLONE - F2O bugs following Busco score updating and uploading,MIC-905,MicroBoost,iliab,elanitec,14400,0.5,14400,0.5,100%,P271 - CPB Upkeep Computational (2023),MIC-742,,MicroBoost,1 Jun 23,Bio-Info
MetaCyc- Database QA following bugs found during Septoria pathway analysis,MIC-822,MicroBoost,iliab,elanitec,57600,2,57600,2,100%,P273 - Product- Upkeep MB  (2023),MIC-742,,MicroBoost,1 Jun 23,Bio-Info
Connection between Isolate assembly - BACUM and BACTANA 1 (QA and debug),CPB-1009,CPB,iliab,iliab,57600,2,28800,1,50%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Jul 23,Bio-Info
Adapt and test make_production.py for PRISM (metagenomes),CPB-1016,CPB,iliab,iliab,57600,2,57600,2,100%,P279 - CPB projects Computational (CPB 2023),CPB-976,,CPB,1 Jul 23,Bio-Info
MetaCyc- Database QA following bugs found during Septoria pathway analysis,MIC-929,MicroBoost,iliab,nira,57600,2,57600,2,100%,P273 - Product- Upkeep MB  (2023),MIC-742,,MicroBoost,1 Jul 23,Bio-Info
Metacyc Bug Cont.,CPB-1012,CPB,iliab,iliab,57600,2,180,0.00625,0%,P273 - Product- Upkeep MB  (2023),,,CPB,1 Jul 23,Bio-Info
Regulation - LAV311 - Productions preparation,LBI-5,Lavie Bio Internal,iliab,elanitec,144000,5,129600,4.5,90%,P143 - Corteva (Lavie 2023),,,MicroBoost,1 Jul 23,Bio-Info
uploading Brassica napus genome to Evogene's UCSC browser,AGIC-189,AgSeed/IC,Iliaz,eladm,,0,14400,0.5,,P300 - Horizon,,,AgSeed,1 Jun 23,Bio-Info
Productions without a path or incorrect path to genome-Dec,CPB-769,CPB,itair,gala,115200,4,115200,4,100%,P997-271 - Upkeep Computational ,MIC-563,,MicroBoost,1 Dec 22,Bio-Info
KEGG pathways- KEGG format,CPB-809,CPB,liorr,gala,86400,3,64800,2.25,75%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
KEGG pathways-map to KO,CPB-810,CPB,liorr,gala,57600,2,64800,2.25,112%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
KEGG pathways-KO count,CPB-811,CPB,liorr,gala,57600,2,43200,1.5,75%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
KEGG pathways-KO tests,CPB-812,CPB,liorr,gala,28800,1,43200,1.5,150%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
KEGG pathways- KO to PWY,CPB-814,CPB,liorr,gala,57600,2,72000,2.5,125%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
KEGG pathways- PWY file,CPB-815,CPB,liorr,gala,86400,3,43200,1.5,50%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
KEGG pathways- tests,CPB-816,CPB,liorr,gala,57600,2,28800,1,50%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
Evocogs- code review,CPB-808,CPB,liorr,gala,28800,1,3600,0.125,12%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
DAG debug,CPB-791,CPB,liorr,gala,86400,3,115200,4,133%,P276 - CTO ?�� Architecture (CPB),CPB-762,,CPB,1 Feb 23,Bio-Info
Rerun ko for 116 prods in biomica,CPB-894,CPB,liorr,Iliaz,86400,3,14400,0.5,16%,P271 - CPB Upkeep Computational (2023),,,CPB,,Bio-Info
KEGG pathways-KO QA,CPB-813,CPB,liorr,gala,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
Update of the acc2name pipeline,CPB-968,CPB,liorr,iliab,86400,3,115200,4,133%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 May 23,Bio-Info
Genome page main UI -  Droplist AntiSmash BI support,MIC-758,MicroBoost,liorr,larisar,57600,2,7200,0.25,12%,P265 - Product- MB (Microboost 2023),MIC-720,,MicroBoost,1 May 23,Bio-Info
CLONE - Creating a production for public genomes (ICL project),CI-11,CPBC Internal,liorr,elanitec,144000,5,144000,5,100%,P82 - ICL (Lavie 2023),,,MicroBoost,1 May 23,Bio-Info
Genome page main UI - Droplist Annotations: TANDA-fasta36 BI support,MIC-766,MicroBoost,liorr,larisar,57600,2,28800,1,50%,P265 - Product- MB (Microboost 2023),MIC-720,,MicroBoost,1 May 23,Bio-Info
"BACUM second DAG debugging (""bridge"" between BACTANA1 and BACUM)",CPB-954,CPB,liorr,iliab,86400,3,86400,3,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 May 23,Bio-Info
Update acc2names.py,CPB-977,CPB,liorr,iliab,57600,2,57600,2,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 May 23,Bio-Info
strainDB- statistics,MIC-806,MicroBoost,liorr,gala,57600,2,57600,2,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Apr 23,Bio-Info
BACUM to prod dir,CPB-896,CPB,liorr,gala,57600,2,57600,2,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Apr 23,Bio-Info
StrainDB - runannotation for 266 productions,MIC-820,MicroBoost,liorr,iliab,57600,2,43200,1.5,75%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Apr 23,Bio-Info
strainDB- runannotation,MIC-802,MicroBoost,liorr,gala,115200,4,115200,4,100%,P273 - Product- Upkeep MB  (2023),CPB-880,,CPB,1 Apr 23,Bio-Info
strainDB- runannotation load,MIC-804,MicroBoost,liorr,gala,57600,2,57600,2,100%,P273 - Product- Upkeep MB  (2023),CPB-880,,CPB,1 Apr 23,Bio-Info
BACUM- DAG- April,CPB-948,CPB,liorr,gala,57600,2,57600,2,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Apr 23,Bio-Info
BACUM DAG (second part) - April,CPB-950,CPB,liorr,iliab,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),,,CPB,1 Apr 23,Bio-Info
BACUM- QA,CPB-915,CPB,liorr,gala,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
strainDB- runannotation,MIC-800,MicroBoost,liorr,gala,115200,4,115200,4,100%,P273 - Product- Upkeep MB  (2023),CPB-880,,CPB,1 Mar 23,Bio-Info
BACUM- DAG,CPB-917,CPB,liorr,gala,57600,2,57600,2,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
BACUM- re-writing,CPB-904,CPB,liorr,gala,57600,2,72000,2.5,125%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
strainDB- runannotation load,MIC-801,MicroBoost,liorr,gala,28800,1,36000,1.25,125%,P273 - Product- Upkeep MB  (2023),CPB-880,,CPB,1 Mar 23,Bio-Info
BACUM- tests,CPB-914,CPB,liorr,gala,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
BACUM- planning,CPB-903,CPB,liorr,gala,57600,2,50400,1.75,87%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
Antismash- run tool,CPB-860,CPB,liorr,gala,57600,2,43200,1.5,75%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Mar 23,Bio-Info
strainDB- runannotation 3rd round,MIC-735,MicroBoost,liorr,gala,57600,2,57600,2,100%,P273 - Product- Upkeep MB  (2023),CPB-841,,CPB,1 Mar 23,Bio-Info
Stats- collect stats per run,CPB-850,CPB,liorr,gala,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Mar 23,Bio-Info
DAG update full annotation,CPB-871,CPB,liorr,gala,86400,3,86400,3,100%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Mar 23,Bio-Info
Antismash- QA,CPB-861,CPB,liorr,gala,28800,1,14400,0.5,50%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Mar 23,Bio-Info
Antismash- test,CPB-862,CPB,liorr,gala,28800,1,7200,0.25,25%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Mar 23,Bio-Info
Plasmids- code review,CPB-884,CPB,liorr,gala,28800,1,7200,0.25,25%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
BI script update - RGB script-CPB,AG-1161,AgPlenus,liorr,nira,28800,1,28800,1,100%,P23 - Herbicides (AgPlenus) (2023),,,ChemPass,1 Feb 23,Bio-Info
strainDB- runannotation,MIC-731,MicroBoost,liorr,gala,115200,4,172800,6,150%,P273 - Product- Upkeep MB  (2023),CPB-841,,CPB,1 Feb 23,Bio-Info
CLONE - Tanda- QA for cluster,CPB-868,CPB,liorr,gala,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
Tanda- Fasta 36,CPB-866,CPB,liorr,gala,57600,2,57600,2,100%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
Tanda- Diamond,CPB-864,CPB,liorr,gala,57600,2,72000,2.5,125%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
Tanda- QA,CPB-865,CPB,liorr,gala,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
Tanda- tests,CPB-869,CPB,liorr,gala,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
Second DAG- runannotation,CPB-837,CPB,liorr,gala,57600,2,43200,1.5,75%,P276 - CTO ?�� Architecture (CPB),CPB-762,,CPB,1 Jan 23,Bio-Info
CLONE - Kraken to AF,CPB-830,CPB,liorr,drorf,144000,5,144000,5,100%,P276 - CTO ?�� Architecture (CPB),,,CPB,1 Jan 23,Bio-Info
Support- Jan (Lior),CPB-767,CPB,liorr,gala,57600,2,43200,1.5,75%,P997-271 - Upkeep Computational ,,,CPB,1 Jan 23,Bio-Info
Post-annotation QA,CPB-978,CPB,liorr,iliab,115200,4,115200,4,100%,P279 - CPB projects Computational (CPB 2023),,,CPB,1 Jun 23,Bio-Info
KRAKEN - StrainDB analysis on Sheba data,INTBIOM-4,Biomica Internal,liorr,elanitec,86400,3,86400,3,100%,P255 - IBD (Biomica 2023),,,MicroBoost,1 Jun 23,Bio-Info
Managing DAGs related to PRISM,CPB-975,CPB,liorr,iliab,144000,5,144000,5,100%,P279 - CPB projects Computational (CPB 2023),CPB-976,,CPB,1 Jun 23,Bio-Info
Managing DAGs related to PRISM (Clone),CPB-1008,CPB,liorr,iliab,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-976,,CPB,1 Jul 23,Bio-Info
Metagenomic samples: KOs and EvoCOGs annotations - QA Jun-2023,CPB-998,CPB,liorr,larisar,86400,3,57600,2,66%,P271 - CPB Upkeep Computational (2023),CPB-762,,CPB,1 Jun 23,Bio-Info
StrainDB: kraken-brakcen pipeline QA,MIC-858,MicroBoost,liorr,larisar,201600,7,201600,7,100%,P273 - Product- Upkeep MB  (2023),MIC-742,,MicroBoost,1 Jun 23,Bio-Info
CLONE - download metagenomic data from Sheba + filtration and QA,BIOM-263,Biomica,liorr,drorf,115200,4,115200,4,100%,P255 - IBD (Biomica 2023),,,MicroBoost,1 May 23,Bio-Info
Add gff2bed and make_production stages to PRISM (metagenomes),CPB-1015,CPB,liorr,iliab,57600,2,57600,2,100%,P279 - CPB projects Computational (CPB 2023),CPB-976,,CPB,1 Jul 23,Bio-Info
Copy plasmid pipeline output to the Bactana 1 directory.,CPB-1005,CPB,liorr,iliab,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Jul 23,Bio-Info
CLONE - Calculation of raw pathway abundance in metagenomic assembly samples,MIC-846,MicroBoost,liorr,elanitec,144000,5,86400,3,60%,P265 - Product- MB (Microboost 2023),MIC-828,,MicroBoost,1 May 23,Bio-Info
Implementation of new raw pathways analysis in assembly of metagenomes following new raw abundance calculation ,MIC-923,MicroBoost,liorr,elanitec,86400,3,86400,3,100%,P265 - Product- MB (Microboost 2023),MIC-828,,MicroBoost,1 Jul 23,Bio-Info
SOURCE verification for 7173 public productions that have no GCF/GCA in genome file path,MIC-881,MicroBoost,liorr,larisar,72000,2.5,72000,2.5,100%,P273 - Product- Upkeep MB  (2023),MIC-742,,MicroBoost,1 Jul 23,Bio-Info
CONFUTER update ,CPB-1003,CPB,liorr,iliab,230400,8,57600,2,25%,P279 - CPB projects Computational (CPB 2023),CPB-976,,CPB,1 Jul 23,Bio-Info
StrainDB: kraken-brakcen pipeline QA - standby Jul-2023,MIC-917,MicroBoost,liorr,larisar,86400,3,86400,3,100%,P273 - Product- Upkeep MB  (2023),MIC-742,,MicroBoost,1 Jul 23,Bio-Info
Metagenomic samples: KOs and EvoCOGs annotations - QA Jul-2023,CPB-1011,CPB,liorr,larisar,86400,3,86400,3,100%,P271 - CPB Upkeep Computational (2023),CPB-762,,CPB,1 Jul 23,Bio-Info
KRAKEN all_reads fix in taxa_abundance_table.txt,CPB-1042,CPB,liorr,iliab,86400,3,72000,2.5,83%,P279 - CPB projects Computational (CPB 2023),MIC-828,,CPB,1 Jul 23,Bio-Info
Production information updated file,LAV-406,LavieBio,markb,mariac,28800,1,18000,0.625,62%,P144 - Enabling Optim and F&F CPB (LavieBio),,,MicroBoost,1 Jan 23,Bio-Info
CLONE - Target selection - Jan23,CHEM-558,ChemPass,markb,nira,86400,3,97200,3.375,112%,P264 - CSO small molecules (CSO/Product),CHEM-519,,ChemPass,1 Jan 23,Bio-Info
CrisprIL data evaluation-human feature-based model for multiple cell lines,CRIS-385,CrisprIL,markb,erane,288000,10,335280,11.64166667,116%,P277 - CrisprIL_WP1 (CRISPR) (2023),CRIS-376,,Generator,1 Jan 23,Bio-Info
Busco,CPB-800,CPB,markb,gala,57600,2,101100,3.510416667,175%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
"Documentation writing for 16S, busco and comparens",CPB-965,CPB,markb,iliab,43200,1.5,28800,1,66%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 May 23,Bio-Info
StrainDB complete missed 262 productions,CPB-971,CPB,markb,larisar,172800,6,144000,5,83%,P271 - CPB Upkeep Computational (2023),MIC-742,,MicroBoost,1 May 23,Bio-Info
 BI script - Crop concat,AG-1171,AgPlenus,markb,nira,86400,3,72000,2.5,83%,P23 - Herbicides (AgPlenus) (2023),,,ChemPass,1 Apr 23,Bio-Info
comparens-April,CPB-944,CPB,markb,gala,86400,3,279000,9.6875,322%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Apr 23,Bio-Info
comparens,CPB-899,CPB,markb,gala,86400,3,235800,8.1875,272%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
Classify 16S- find 16S sequence,CPB-886,CPB,markb,gala,57600,2,57600,2,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
Classify 16S- mothur,CPB-887,CPB,markb,gala,57600,2,235800,8.1875,409%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
BI script - Crop concat CPB,AG-1160,AgPlenus,markb,nira,360000,12.5,345600,12,96%,P23 - Herbicides (AgPlenus) (2023),,,ChemPass,1 Feb 23,Bio-Info
Evocog on the fly 2 KO- code,CPB-872,CPB,markb,gala,86400,3,100800,3.5,116%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
Evocog on the fly 2 KO- update,CPB-873,CPB,markb,gala,57600,2,57600,2,100%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
Support- Jan (Mark),CPB-764,CPB,markb,gala,57600,2,144000,5,250%,P997-271 - Upkeep Computational ,,,CPB,1 Jan 23,Bio-Info
"CLONE - Evocog sequence extraction (Shelflife project, common evocogs)",CI-13,CPBC Internal,markb,elanitec,86400,3,84600,2.9375,97%,P192 - Lavie programs (Lavie 2023),,,CPB,1 Jun 23,Bio-Info
Documentation writing for 16S and comparens,CPB-990,CPB,markb,iliab,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Jun 23,Bio-Info
Debug of comparens pipeline in the isolate_assembly DAG,CPB-1021,CPB,markb,iliab,,0,18000,0.625,,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Jun 23,Bio-Info
CLONE - Bi script - Image analysis,AG-1164,AgPlenus,markb,nira,201600,7,234000,8.125,116%,P23 - Herbicides (AgPlenus) (2023),,,ChemPass,1 Jun 23,Bio-Info
Implementation of new abundance calculation method in assembly of metagenomes - planning,MIC-921,MicroBoost,markb,elanitec,57600,2,72000,2.5,125%,P265 - Product- MB (Microboost 2023),MIC-828,,MicroBoost,1 Jul 23,Bio-Info
Bi script - Image analysis-cloned July,AG-1191,AgPlenus,markb,alinsb,57600,2,68400,2.375,118%,P23 - Herbicides (AgPlenus) (2023),,,ChemPass,1 Jul 23,Bio-Info
Followup task on MIC-797 Normalization in assembly of metagenomic samples: KOs and EvoCOGs,MIC-863,MicroBoost,markb,larisar,144000,5,158400,5.5,110%,P265 - Product- MB (Microboost 2023),MIC-828,,MicroBoost,1 Jun 23,Bio-Info
Normalization in assembly of metagenomic samples: KOs and EvoCOGs - Mar2023,MIC-797,MicroBoost,markb,larisar,288000,10,288000,10,100%,P265 - Product- MB (Microboost 2023),MIC-828,,MicroBoost,1 May 23,Bio-Info
CLONE - Cropconcut script- request for information,AGPI-5,Ag Plenus Internal,markb,nira,86400,3,100800,3.5,116%,P23 - Herbicides (AgPlenus) (2023),,,ChemPass,1 Jul 23,Bio-Info
Implementation of new abundance calculation method in assembly of metagenomes,MIC-922,MicroBoost,markb,elanitec,230400,8,316800,11,137%,P265 - Product- MB (Microboost 2023),MIC-828,,MicroBoost,1 Jul 23,Bio-Info
Evocogs- update reps,CPB-805,CPB,michala,gala,86400,3,86400,3,100%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
Evocogs- unmapped,CPB-804,CPB,michala,gala,57600,2,57600,2,100%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
Evocogs- mapping,CPB-803,CPB,michala,gala,57600,2,57600,2,100%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
Evocogs- tests,CPB-806,CPB,michala,gala,57600,2,86400,3,150%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
Test diamond chunks,CPB-802,CPB,michala,gala,86400,3,115200,4,133%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
Generate production- Code review,CPB-874,CPB,michala,gala,28800,1,14400,0.5,50%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
Evocogs- QA,CPB-807,CPB,michala,gala,28800,1,86400,3,300%,P279 - CPB projects Computational (CPB 2023),CPB-762,,CPB,1 Jan 23,Bio-Info
Confluence for QA and trimming of the raw reads for isolates,CPB-952,CPB,michala,iliab,28800,1,57600,2,200%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Apr 23,Bio-Info
Previous Biomica's datasets uploaded to metabacum: re-load correct data to DB (metabacum) May-2023,CPB-958,CPB,michala,larisar,201600,7,144000,5,71%,P271 - CPB Upkeep Computational (2023),MIC-828,,MicroBoost,1 May 23,Bio-Info
CORBACs run failure - BI,CI-8,CPBC Internal,michala,michalsho,115200,4,115200,4,100%,P82 - ICL (Lavie 2023),,,MicroBoost,1 May 23,Bio-Info
Verification of filtration dimensions in frame of functional abundance tables generation,MIC-866,MicroBoost,michala,larisar,57600,2,57600,2,100%,P273 - Product- Upkeep MB  (2023),MIC-828,,MicroBoost,1 May 23,Bio-Info
Test completness of previous Biomica's datasets uploaded to metabacum  -Apr2023,MIC-812,MicroBoost,michala,larisar,86400,3,187200,6.5,216%,P265 - CSO microbials (CSO/Product),MIC-828,,MicroBoost,1 Apr 23,Bio-Info
Test completness of previous Biomica's datasets uploaded to metabacum  -Mar2023,MIC-700,MicroBoost,michala,larisar,144000,5,144000,5,100%,P265 - CSO microbials (CSO/Product),MIC-828,,MicroBoost,1 Mar 23,Bio-Info
StrainDB update for Confuter and F2O,MIC-825,MicroBoost,michala,elanitec,144000,5,158400,5.5,110%,P273 - Product- Upkeep MB  (2023),MIC-742,,MicroBoost,1 May 23,Bio-Info
Metagenomic samples: KOs and EvoCOGs annotations - QA ,CPB-964,CPB,michala,larisar,115200,4,144000,5,125%,P271 - CPB Upkeep Computational (2023),CPB-762,,CPB,1 May 23,Bio-Info
strainDB- statistics,MIC-803,MicroBoost,michala,gala,57600,2,57600,2,100%,P273 - Product- Upkeep MB  (2023),CPB-880,,CPB,1 Apr 23,Bio-Info
comparens code review,CPB-900,CPB,michala,gala,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Apr 23,Bio-Info
Plasmids- run annotation,CPB-882,CPB,michala,gala,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
remove phix from reads,CPB-891,CPB,michala,gala,86400,3,100800,3.5,116%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
Trimomatic,CPB-890,CPB,michala,gala,57600,2,144000,5,250%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
Fastq-QC,CPB-889,CPB,michala,gala,57600,2,72000,2.5,125%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
Plasmids- tests,CPB-883,CPB,michala,gala,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Mar 23,Bio-Info
Stats- collect stats per production,CPB-849,CPB,michala,gala,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
Stats- QA,CPB-851,CPB,michala,gala,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
Identify Plasmids,CPB-881,CPB,michala,gala,57600,2,144000,5,250%,P279 - CPB projects Computational (CPB 2023),CPB-880,,CPB,1 Feb 23,Bio-Info
Protein description- check code,CPB-857,CPB,michala,gala,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
Interpro7- check code,CPB-854,CPB,michala,gala,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
Protein description- QA,CPB-859,CPB,michala,gala,28800,1,86400,3,300%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
Interpro7- QA,CPB-856,CPB,michala,gala,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
Interpro7- code adaptetion,CPB-855,CPB,michala,gala,28800,1,28800,1,100%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
Protein description- code adaptation,CPB-858,CPB,michala,gala,57600,2,57600,2,100%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
Stats- tests,CPB-852,CPB,michala,gala,28800,1,43200,1.5,150%,P279 - CPB projects Computational (CPB 2023),CPB-841,,CPB,1 Feb 23,Bio-Info
Support- Jan (Michal),CPB-766,CPB,michala,gala,57600,2,100800,3.5,175%,P997-271 - Upkeep Computational ,,,CPB,1 Jan 23,Bio-Info
statistics- Michal,MIC-705,MicroBoost,michala,gala,,0,57600,2,,P265 - CSO microbials (CSO/Product),,,CPB,1 Jan 23,Bio-Info
Verification of filtration dimensions in frame of functional abundance tables generation - Jun-2023 backup,MIC-869,MicroBoost,michala,larisar,28800,1,28800,1,100%,P273 - Product- Upkeep MB  (2023),MIC-828,,MicroBoost,1 Jun 23,Bio-Info
CLONE - Refunder analysis on Sheba data,INTBIOM-5,Biomica Internal,michala,elanitec,86400,3,86400,3,100%,P255 - IBD (Biomica 2023),,,MicroBoost,1 Jun 23,Bio-Info
Previous Biomica's datasets uploaded to metabacum: re-load correct data to DB (metabacum) Jun-2023,CPB-982,CPB,michala,larisar,144000,5,57600,2,40%,P271 - CPB Upkeep Computational (2023),MIC-828,,MicroBoost,1 Jun 23,Bio-Info
StrainDB complete missed 4 productions,CPB-991,CPB,michala,larisar,57600,2,57600,2,100%,P273 - Product- Upkeep MB  (2023),MIC-742,,MicroBoost,1 Jun 23,Bio-Info
CLONE - StrainDB update for Confuter and F2O,MIC-868,MicroBoost,michala,elanitec,86400,3,87360,3.033333333,101%,P273 - Product- Upkeep MB  (2023),MIC-742,,MicroBoost,1 Jun 23,Bio-Info
Previous Biomica's datasets uploaded to metabacum: re-load correct data to DB (metabacum) Jul-2023,CPB-1022,CPB,michala,iliab,86400,3,86400,3,100%,P271 - CPB Upkeep Computational (2023),MIC-828,,MicroBoost,1 Jul 23,Bio-Info
Refunder analysis on Sheba data - JUL,INTBIOM-9,Biomica Internal,michala,drorf,115200,4,86400,3,75%,P255 - IBD (Biomica 2023),,,MicroBoost,1 Jul 23,Bio-Info
Previous Biomica's datasets uploaded to metabacum: check loaded data,CPB-1031,CPB,michala,iliab,115200,4,57600,2,50%,P279 - CPB projects Computational (CPB 2023),MIC-828,,CPB,1 Jul 23,Bio-Info
